Id,Victimas,Sexo,Edad,Rol,Victima,Acusado,Fecha,Semestre,Franja_Horaria,Lugar_Del_Hecho,Tipo_De_Calle,Calle,Direccion,Altura\Cruce,Comuna,Longitud,Latitud
2016-0001,1,MASCULINO,19,CONDUCTOR,MOTO,AUTO,2016-01-01,1,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022
2016-0002,1,MASCULINO,70,CONDUCTOR,AUTO,PASAJEROS,2016-01-02,1,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",DE LOS CORRALES AV.,9,-58.50877521,-34.66977709
2016-0003,1,MASCULINO,30,CONDUCTOR,MOTO,AUTO,2016-01-03,1,7,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 2034,2034.0,1,-58.39040293,-34.63189362
2016-0004,1,MASCULINO,18,CONDUCTOR,MOTO,SD,2016-01-10,1,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.","VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974
2016-0005,1,MASCULINO,29,CONDUCTOR,MOTO,PASAJEROS,2016-01-21,1,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"SAN JUAN AV. y SAENZ PEÃA, LUIS, PRES.","SAENZ PE?A, LUIS, PRES.",1,-58.38718297,-34.6224663
2016-0008,1,MASCULINO,30,CONDUCTOR,MOTO,OBJETO FIJO,2016-01-24,1,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y ESCALADA AV.,ESCALADA AV.,8,-58.44451316,-34.68475866
2016-0009,1,MASCULINO,29,PASAJERO_ACOMPAÑANTE,MOTO,AUTO,2016-01-24,1,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"NOGOYA y GONZALEZ, JOAQUIN V.","GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544
2016-0010,1,MASCULINO,18,CONDUCTOR,MOTO,AUTO,2016-01-29,1,15,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",DE LOS CORRALES AV.,9,-58.50877521,-34.66977709
2016-0012,1,MASCULINO,22,CONDUCTOR,MOTO,CARGAS,2016-02-08,1,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"BELGRANO AV. e IRIGOYEN, BERNARDO DE","IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893
2016-0013,1,MASCULINO,16,PEATON,PEATON,AUTO,2016-02-10,1,11,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 1366,1366.0,1,-58.39114932,-34.62477387
