Id;Victimas;Sexo;Edad_Victima;Participantes;Victima;Acusado;Vehiculo_Victima;Fecha;Semestre;Franja_Horaria;Direccion;Tipo_De_Calle;Altura\Cruce;Comuna;Longitud;Latitud
LC-2019-0000053;1;Varon;57;AUTO-SD;AUTO;N/D;N/D;2019-01-01;1;1;Autopista Presidente Héctor J. Cámpora y Roca, Cnel. Av. 0, Barrio: Villa Soldati  , jurisdicción comisaria:  Vecinal 8B;N/D;N/D;8;-58.44351;-34.669125
LC-2019-0000082;4;Varon;45;AUTO-SD;AUTO;N/D;N/D;2019-01-01;1;4;Corrientes Av. y Uriburu Jose E., Pres. 0, Barrio: Balvanera  , jurisdicción comisaria:  Vecinal 3A;N/D;N/D;3;-58.398225;-34.604579
LC-2019-0000082;4;Mujer;45;AUTO-SD;AUTO;N/D;N/D;2019-01-01;1;4;Corrientes Av. y Uriburu Jose E., Pres. 0, Barrio: Balvanera  , jurisdicción comisaria:  Vecinal 3A;N/D;N/D;3;-58.398225;-34.604579
LC-2019-0000082;4;Varon;27;AUTO-SD;AUTO;N/D;N/D;2019-01-01;1;4;Corrientes Av. y Uriburu Jose E., Pres. 0, Barrio: Balvanera  , jurisdicción comisaria:  Vecinal 3A;N/D;N/D;3;-58.398225;-34.604579
LC-2019-0000082;4;Mujer;32;AUTO-SD;AUTO;N/D;N/D;2019-01-01;1;4;Corrientes Av. y Uriburu Jose E., Pres. 0, Barrio: Balvanera  , jurisdicción comisaria:  Vecinal 3A;N/D;N/D;3;-58.398225;-34.604579
LC-2019-0000136;2;Varon;21;MOTO-SD;MOTO;N/D;N/D;2019-01-01;1;8;Cordoba Av. y Humboldt 0, Barrio: Chacarita  , jurisdicción comisaria:  Vecinal 15A;N/D;N/D;15;-58.439392;-34.588108
LC-2019-0000136;2;Mujer;21;MOTO-SD;MOTO;N/D;N/D;2019-01-01;1;8;Cordoba Av. y Humboldt 0, Barrio: Chacarita  , jurisdicción comisaria:  Vecinal 15A;N/D;N/D;15;-58.439392;-34.588108
LC-2019-0000142;1;Varon;37;MOTO-SD;MOTO;N/D;N/D;2019-01-01;1;7;San Martin Av. y Paz, Gral. Av. 0, Barrio: Villa Devoto  , jurisdicción comisaria:  Vecinal 11B;N/D;N/D;11;-58.519116;-34.589282
LC-2019-0000194;1;Mujer;33;AUTO-SD;AUTO;N/D;N/D;2019-01-01;1;7;Paz, Gral. Av. y Chavez, Jorge 0, Barrio: Liniers  , jurisdicción comisaria:  Vecinal 9B;N/D;N/D;9;-58.528413;-34.650156
LC-2019-0000202;1;Varon;25;MOTO-SD;MOTO;N/D;N/D;2019-01-01;1;9;Cordoba Av. y Alem, Leandro N. Av. 0, Barrio: Retiro  , jurisdicción comisaria:  Vecinal 1A;N/D;N/D;1;-58.371488;-34.598416
